epoch,stage,stage_epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr_backbone,lr_head
1,linear_probe,1,0.7937,90.63,0.6979,94.77,0.0,0.0015
2,linear_probe,2,0.7076,94.12,0.682,95.73,0.0,0.0015
3,full_finetune,1,0.6546,94.6,0.5895,96.57,0.00015,0.0015
4,full_finetune,2,0.6023,96.21,0.5649,97.93,0.00015,0.0015
5,full_finetune,3,0.5899,96.58,0.5692,97.48,0.00014458,0.00144576
6,full_finetune,4,0.5734,97.17,0.5546,97.56,0.00012913,0.00129131
7,full_finetune,5,0.5583,97.7,0.5483,97.98,0.00010602,0.00106016
8,full_finetune,6,0.5446,98.26,0.537,98.81,7.875e-05,0.0007875
9,full_finetune,7,0.5319,98.77,0.5381,98.44,5.148e-05,0.00051484
10,full_finetune,8,0.5258,98.99,0.5308,98.96,2.837e-05,0.00028369
11,full_finetune,9,0.5183,99.3,0.5308,98.96,1.292e-05,0.00012924
12,full_finetune,10,0.5151,99.45,0.5298,98.99,7.5e-06,7.5e-05
