epoch,stage,stage_epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr_backbone,lr_head
1,linear_probe,1,1.0283,80.56,0.8708,87.36,0.0,0.0025
2,linear_probe,2,0.8845,86.03,0.8505,87.95,0.0,0.0025
3,linear_probe,3,0.8703,86.48,0.8481,87.75,0.0,0.000125
4,full_finetune,1,0.7072,93.22,0.6277,96.3,0.00025,0.0025
5,full_finetune,2,0.6105,96.54,0.6082,96.2,0.00025,0.0025
6,full_finetune,3,0.5886,97.09,0.5786,97.19,0.00024419,0.00244188
7,full_finetune,4,0.5717,97.6,0.5721,97.36,0.00022732,0.00227321
8,full_finetune,5,0.5577,98.22,0.5507,98.12,0.00020105,0.00201049
9,full_finetune,6,0.5488,98.44,0.5531,98.07,0.00016795,0.00167946
10,full_finetune,7,0.543,98.59,0.5501,98.17,0.00013125,0.0013125
11,full_finetune,8,0.5388,98.63,0.5454,98.32,9.455e-05,0.00094554
12,full_finetune,9,0.533,98.94,0.5424,98.44,6.145e-05,0.00061451
13,full_finetune,10,0.529,99.15,0.5386,98.54,3.518e-05,0.00035179
14,full_finetune,11,0.5255,99.26,0.54,98.42,1.831e-05,0.00018312
15,full_finetune,12,0.5256,99.24,0.5377,98.49,1.25e-05,0.000125
